Biricodar	small molecule	ABCG2
Dronedarone	small molecule	KCNH2
Dronedarone	small molecule	CACNA1C
Dronedarone	small molecule	CACNA1D
Dronedarone	small molecule	CACNA1F
Dronedarone	small molecule	CACNA1S
Dronedarone	small molecule	CACNB1
Dronedarone	small molecule	CACNB2
Dronedarone	small molecule	CACNB3
Dronedarone	small molecule	CACNB4
Dronedarone	small molecule	SLC8A1
Lefradafiban	small molecule	ITGB3
Bicifadine	small molecule	SLC6A2
Bicifadine	small molecule	SLC6A4
Milnacipran	small molecule	SLC6A4
Milnacipran	small molecule	SLC6A2
Clevidipine	small molecule	CACNA1F
Clevidipine	small molecule	CACNA1S
Clevidipine	small molecule	CACNA1D
Clevidipine	small molecule	CACNA1C
Altropane	small molecule	SLC6A3
Altropane	small molecule	Slc6a3
Ezogabine	small molecule	KCNQ2
Ezogabine	small molecule	KCNQ3
Azimilide	small molecule	KCNH2
XEN-2174	small molecule	SLC6A2
Vintafolide	small molecule	FOLR2
Vintafolide	small molecule	FOLR1
Methsuximide	small molecule	CACNA1G
Dexlansoprazole	small molecule	ATP4A
Dexlansoprazole	small molecule	ATP4B
Histamine	small molecule	SLC18A2
Histamine	small molecule	Slc18a2
Iodine	small molecule	SLC5A5
OPC-14523	small molecule	SLC6A4
Telaprevir	small molecule	SLCO1B1
Telaprevir	small molecule	SLCO2B1
Farletuzumab	biotech	FOLR1
DDP-225	small molecule	SLC6A2
CRx-119	small molecule	SLC6A4
CRx-119	small molecule	SLC6A2
LM-609	biotech	ITGB3
Amitifadine	small molecule	SLC6A4
Amitifadine	small molecule	SLC6A2
Lumateperone	small molecule	SLC6A4
ICA-105665	small molecule	KCNQ3
ICA-105665	small molecule	KCNQ2
Sertindole	small molecule	KCNH2
Mianserin	small molecule	SLC6A2
Mianserin	small molecule	SLC6A4
Mianserin	small molecule	SLC6A3
Mianserin	small molecule	Slc6a3
Acetylcysteine	small molecule	SLC7A11
Nylidrin	small molecule	CACNA1I
Nylidrin	small molecule	CACNA1I
Tesofensine	small molecule	SLC6A4
Tesofensine	small molecule	SLC6A2
Tesofensine	small molecule	SLC6A3
Tesofensine	small molecule	Slc6a3
Istaroxime	small molecule	ATP1A1
Romidepsin	small molecule	ABCC1
Tapentadol	small molecule	SLC6A2
Tapentadol	small molecule	SLC6A4
Vernakalant	small molecule	KCNH2
Caldaret	small molecule	SLC8A1
Ziconotide	small molecule	CACNA1A
Ziconotide	small molecule	CACNA1A
Dapagliflozin	small molecule	SLC5A2
Trodusquemine	small molecule	SLC6A3
Trodusquemine	small molecule	Slc6a3
Trodusquemine	small molecule	SLC6A2
Armodafinil	small molecule	SLC6A3
Armodafinil	small molecule	Slc6a3
Dotarizine	small molecule	CACNA1A
Dotarizine	small molecule	CACNA1A
Tecastemizole	small molecule	KCNH2
Cariporide	small molecule	SLC9A1
Fradafiban	small molecule	ITGB3
TG4010	biotech	MUC1
Safinamide	small molecule	MAOB
Vilazodone	small molecule	SLC6A4
Desvenlafaxine	small molecule	SLC6A2
Desvenlafaxine	small molecule	SLC6A4
Desvenlafaxine	small molecule	SLC6A3
Desvenlafaxine	small molecule	Slc6a3
Dexmethylphenidate	small molecule	SLC6A3
Dexmethylphenidate	small molecule	Slc6a3
Dexmethylphenidate	small molecule	SLC6A2
Dexmethylphenidate	small molecule	SLC6A4
Isometheptene	small molecule	SLC18A2
Isometheptene	small molecule	Slc18a2
Nilvadipine	small molecule	CACNA1C
Nilvadipine	small molecule	CACNB2
Nilvadipine	small molecule	CACNA1D
Nilvadipine	small molecule	CACNA1S
Norelgestromin	small molecule	ALB
Propylhexedrine	small molecule	SLC18A2
Propylhexedrine	small molecule	Slc18a2
Aniline	small molecule	ALB
Ginsenoside Rb1	small molecule	SLCO1B3
Ginsenoside Rg1	small molecule	SLCO1B3
N-(6	7	ompF
7-[(3-CHLOROBENZYL)OXY]-2-OXO-2H-CHROMENE-4-CARBALDEHYDE	small molecule	MAOB
7-[(3-CHLOROBENZYL)OXY]-4-[(METHYLAMINO)METHYL]-2H-CHROMEN-2-ONE	small molecule	MAOB
N-(2-AMINOETHYL)-P-CHLOROBENZAMIDE	small molecule	MAOB
(1Z)-4-(4-FLUOROPHENYL)-2-METHYLIDENEBUTAN-1-IMINE	small molecule	MAOB
4-HYDROXY-N-PROPARGYL-1(R)-AMINOINDAN	small molecule	MAOB
(S)-(+)-2-[4-(FLUOROBENZYLOXY-BENZYLAMINO)PROPIONAMIDE]	small molecule	MAOB
Serotonin	small molecule	SLC6A4
Serotonin	small molecule	SLC18A2
Serotonin	small molecule	Slc18a2
Guvacine	small molecule	SLC6A12
Leukotriene C4	small molecule	ABCC1
Canagliflozin	small molecule	SLC5A2
Levomilnacipran	small molecule	SLC6A4
Levomilnacipran	small molecule	SLC6A2
Butriptyline	small molecule	SLC6A4
Empagliflozin	small molecule	SLC5A2
Cannabidiol	small molecule	CACNA1G
Cannabidiol	small molecule	CACNA1H
Cannabidiol	small molecule	CACNA1I
Cannabidiol	small molecule	CACNA1I
Vortioxetine	small molecule	SLC6A4
Vortioxetine	small molecule	SLC6A2
Tetracaine	small molecule	RYR1
Tetracaine	small molecule	RYR2
Pinaverium	small molecule	CACNA1S
Copper	small molecule	APOBR
Dosulepin	small molecule	SLC6A2
Dosulepin	small molecule	SLC6A4
Viloxazine	small molecule	SLC6A2
Nisoxetine	small molecule	SLC6A4
Lorpiprazole	small molecule	SLC6A4
Dexibuprofen	small molecule	SLC15A1
Zotepine	small molecule	SLC6A2
Zotepine	small molecule	SLC6A4
Barnidipine	small molecule	CACNA1C
Aranidipine	small molecule	CACNA1C
Aranidipine	small molecule	CACNA1D
Aranidipine	small molecule	CACNA1F
Aranidipine	small molecule	CACNA1S
Azelnidipine	small molecule	CACNB1
Efonidipine	small molecule	CACNA1I
Efonidipine	small molecule	CACNA1I
Efonidipine	small molecule	CACNA1C
Levamlodipine	small molecule	CACNA1C
Levamlodipine	small molecule	CACNA1D
Mersalyl	small molecule	SLC16A1
Rauwolfia serpentina root	small molecule	SLC18A2
Rauwolfia serpentina root	small molecule	Slc18a2
Potassium perchlorate	small molecule	SLC5A5
Potassium nitrate	small molecule	KCNH2
Pentoxyverine	small molecule	KCNH2
Guaiacol	small molecule	ALB
Chlorobutanol	small molecule	KCNH2
Lesinurad	small molecule	SLC22A12
