"","SYMBOL","ENTREZID"
"1018","QPRT","23475"
"1020","NNMT","4837"
"1021","PTPN4","5775"
"1022","PTPRS","5802"
"1023","PTPRE","5791"
"1024","ATP6V1A","523"
"1029","GART","2618"
"1030","GNRHR2","114814"
"1031","GRM5","2915"
"1032","CACNA1A","773"
"1033","MAPK8","5599"
"1034","FGF1","2246"
"1035","FGF4","2249"
"1036","PTS","5805"
"1037","GPR35","2859"
"1038","NISCH","11188"
"1043","LDLR","3949"
"1045","CYSLTR2","57105"
"1046","FPR1","2357"
"1047","PTGDR","5729"
"1048","SLC25A5","292"
"1049","SLC25A6","293"
"1050","ASPG","374569"
"1051","DNMT1","1786"
"1052","DNMT3A","1788"
"1053","TLR7","51284"
"1054","TLR8","51311"
"1055","TRDMT1","1787"
"1056","APP","351"
"1057","GPRC5A","9052"
"1058","RARRES1","5918"
"1059","LCN1","3933"
"1060","OBP2A","29991"
"1061","RBP4","5950"
"1062","CYP26A1","1592"
"1063","CYP26B1","56603"
"1068","PRNP","5621"
"1070","SLC12A5","57468"
"1071","SLC12A6","9990"
"1072","SLC12A7","10723"
"1073","SLC12A4","6560"
"1074","HRH3","11255"
"1075","S100A1","6271"
"1076","S100A12","6283"
"1077","S100B","6285"
"1078","S100A13","6284"
"1079","S100A2","6273"
"1080","PTGER2","5732"
"1082","AOC3","8639"
"1083","GPER1","2852"
"1085","BECN1","8678"
"1086","MMP1","4312"
"1087","MMP2","4313"
"1088","MMP3","4314"
"1089","MMP7","4316"
"1090","MMP8","4317"
"1091","MMP10","4319"
"1092","MMP11","4320"
"1093","MMP13","4322"
"1094","MMP14","4323"
"1095","MMP15","4324"
"1096","MMP16","4325"
"1097","MMP17","4326"
"1098","MMP19","4327"
"1099","MMP20","9313"
"1100","MMP21","118856"
"1101","MMP23A","8511"
"1102","MMP24","10893"
"1103","MMP25","64386"
"1104","MMP26","56547"
"1105","MMP27","64066"
"1106","MMP28","79148"
"1108","TBXAS1","6916"
"1109","PLA2G1B","5319"
"1111","NT5E","4907"
"1115","PTGIS","5740"
"1117","CA14","23632"
"1118","AQP1","358"
"1119","TRPM8","79054"
"1120","TRPA1","8989"
"1121","TRPV3","162514"
"1123","S100A4","6275"
"1124","KLK3","354"
"1125","POMC","5443"
"1126","TNFAIP6","7130"
"1127","IL1B","3553"
"1128","KCNA3","3738"
"1129","NPY2R","4887"
"1134","POLA2","23649"
"1135","NFKB1","4790"
"1136","IL2","3558"
"1137","ALAD","210"
"1139","HBB","3043"
"1140","HBA1","3039"
"1141","FTH1","2495"
"1142","FTL","2512"
"1143","FCER1G","2207"
"1144","KCNJ6","3763"
"1145","VCAM1","7412"
"1146","KCNJ5","3762"
"1147","GABRG1","2565"
"1148","GABRG3","2567"
"1149","GABRE","2564"
"1150","GABRP","2568"
"1151","GABRQ","55879"
"1152","GABRD","2563"
"1153","SLC29A2","3177"
"1154","HTR3E","285242"
"1155","HTR3B","9177"
"1156","HTR3D","200909"
"1157","HTR3C","170572"
"1158","CACNG2","10369"
"1159","KCNJ9","3765"
"1160","L1CAM","3897"
"1161","LEF1","51176"
"1162","PTGER3","5733"
"1163","SLC6A1","6529"
"1164","SCN11A","11280"
"1165","SCN2B","6327"
"1166","SCN3B","55800"
"1167","SCN4B","6330"
"1168","CA6","765"
"1169","CA8","767"
"1170","CA10","56934"
"1171","CA11","770"
"1172","CA13","377677"
"1173","KCNJ8","3764"
"1174","PTGER4","5734"
"1175","OPRL1","4987"
"1176","TLR4","7099"
"1177","AOX1","316"
"1178","TP53","7157"
"1179","RPS6KA3","6197"
"1180","NFKBIA","4792"
"1181","CASP1","834"
"1182","CCND1","595"
"1183","MYC","4609"
"1184","CYP2C8","1558"
"1185","CYP1A2","1544"
"1186","CYP2C19","1557"
"1187","NPC1L1","29881"
"1188","SOAT1","6646"
"1189","ANPEP","290"
"1191","RCAN1","1827"
"1192","MTNR1A","4543"
"1193","MTNR1B","4544"
"1194","POLB","5423"
"1195","SOD1","6647"
"1196","RAC1","5879"
"1197","KCNQ5","56479"
"1198","NOLC1","9221"
"1199","S100P","6286"
"1201","CYP51A1","1595"
"1202","CXCR1","3577"
"1204","TRPM4","54795"
"1205","CYCS","54205"
"1206","IL3","3562"
"1207","CYP21A2","1589"
"1208","PANX1","24145"
"1209","TAS2R16","50833"
"1210","HPRT1","3251"
"1216","FASN","2194"
"1217","CLCN2","1181"
"1218","SMO","6608"
"1219","BCL2","596"
"1220","GP1BA","2811"
"1221","S100A7","6278"
"1222","CCL2","6347"
"1224","RORB","6096"
"1225","EPX","8288"
"1226","ASMT","438"
"1227","DCK","1633"
"1228","DPP4","1803"
"1229","PNLIP","5406"
